critLabel,count,otherLabel
other,9,scholar's attribution
other,8,documentation
other,7,market attribution
other,4,collection attribution
other,1,museum attribution
scholar's attribution,46,scholar's attribution
scholar's attribution,45,bibliography
scholar's attribution,25,archival classification
scholar's attribution,20,anonymous note on the photograph
scholar's attribution,17,archival creator's note on the photograph
scholar's attribution,15,archival creator's attribution
scholar's attribution,11,documentation
scholar's attribution,11,auction attribution
scholar's attribution,10,market attribution
scholar's attribution,7,museum attribution
scholar's attribution,5,archival creator's bibliography
scholar's attribution,4,collection attribution
scholar's attribution,2,false signature
scholar's attribution,2,caption on the photograph
scholar's attribution,1,other
sigla,1,archival creator's bibliography
sigla,1,anonymous note on the photograph
stylistic analysis,4,auction attribution
stylistic analysis,1,scholar's attribution
stylistic analysis,1,bibliography
stylistic analysis,1,anonymous note on the photograph
stylistic analysis,1,false signature
stylistic analysis,1,archival creator's note on the photograph
