artwork,artist_accepted,provenance,source,attribution_tbcleaned,accepted_criterion,accepted_cited,accepted_date,discarded_attribution1,discarded-criterion1,discarded_cited1,discarded_date1,discarded_attribution2,discarded-criterion2,discarded_cited2,discarded_date2,discarded_attribution3,discarded-criterion3,discarded_cited3,discarded_date3
b10124676,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.158",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124688,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.153",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012469x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.151",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124706,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.152",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124718,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.149",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012472x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.150",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124731,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.147",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124743,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.148",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124755,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.145",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124767,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.146",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124779,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.143",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124780,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.144  B. 179",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124792,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.141",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124809,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.140",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124810,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.139",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124822,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.142",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124834,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.137",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124846,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.138",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124858,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.135",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012486x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.136",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124871,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.133",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124883,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.134",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124895,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.131",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124901,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.132",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124913,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.129",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124925,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.130",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124937,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.127",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124949,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.128",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124950,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.125",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124962,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.126",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124974,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.124",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124986,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T. 123",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10124998,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.122",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125012,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.120",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125024,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.119",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125036,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.117",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125048,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.116",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012505x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.115",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125061,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.114",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125073,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.113",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125085,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.112",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125097,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.111",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125103,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.110",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125115,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.109",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125127,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.108",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012519x,"Raphael, 1483-1520, shop of.","Staatsgalerie Stuttgart, Stuttgart, Germany (C 96/ 4478).",Information from reproduction.,,anonymous-note-on-photo,,,,,,,,,,,,,,
b1012522x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.107",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125231,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.106",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125243,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.105",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125255,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.104",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10125267,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.103",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128712,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.102",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128724,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.101",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128736,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.100",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128748,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.99",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012875x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.98",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128761,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.97",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128773,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.96",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128785,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.95 B.176",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128797,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.94",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128803,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.93",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128815,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.92",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128827,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.91",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128839,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.90",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128840,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.89",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128852,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.88",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128864,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.87",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128876,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.86",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128888,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.85",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012889x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.84",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128906,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.83",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128918,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.82",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012892x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.81",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128931,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.80  B.177",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128943,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.79",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10128955,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ",,,none,,,,,,,,,,,,,,
b10128967,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ",,,none,,,,,,,,,,,,,,
b10128979,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ",,,none,,,,,,,,,,,,,,
b10128980,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ",,,none,,,,,,,,,,,,,,
b10128992,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ",,,none,,,,,,,,,,,,,,
b10129005,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ",,,none,,,,,,,,,,,,,,
b10129017,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.78",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129029,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.77",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129030,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.76",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129042,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.75",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129054,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.74",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129066,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.73  B.175",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129078,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.72",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1012908x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.71",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10129091,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.70",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10130548,"Veronese, 1528-1588, attributed to.","Duke of Leuchtenberg, Munich and St. Betersburg (as  The Widow of the Spanish Ambassador in Venice presenting her son to Philip II , by Titian) ;""Sale, Christie's, London, Viscountess Northcliffe and Other Collections, April 20, 1923, lot 155 (as  A Family Group,  by Paolo Veronese, the property of F.W. Lippmann, Ltd., sold by the order of the Court)(to Dell, ?36.15s) "";""sold to a dealer in the Netherlands "";""later, by 1929, in the possession of Italico Brass, Venice "";""bought from this group in Venice on December 21, 1937 by Mr. Leventritt (who was able to buy it for removal to another country because it had been held  in bond  since its return to Italy) "";""given by Mortimer Leventritt as a memorial to his parents, Marion and Frances Leventritt, in December 1937 to the California Palace of the Legion of Honor, San Francisco "";""still recorded in the California Palace of the Legion of Honor in 1972 "";""M.H. De Young Memorial Museum, Fine Arts Museum of San Francisco, San Francisco (37.9).""",,,none,,,,,,,,,,,,,,
b10130950,"Licinio, Bernardino, n.1489-m.a.1565, attributed to.","Manfrini, Venice, in 1868 ;""Viscount Wimborne "";""Sale, Christie's, London, Viscount Wimborne and Other Collections, March 9, 1923, lot 27 (as Giovanni Antonio Licinio Pordenone).""",,"Giovanni Antonio Licinio Pordenone. This picture must be really by Bernardino Licionio. The style, grouping, and types are all those of Bernardino Licionio, and not of Pordenone.",Stylistic-analysis,,,,,,,,,,,,,,
b10131802,"Carpi, Girolamo da, 1501-1556.","Rosenbach Museum and Library, Philadelphia (1954.0807.073v).","Rosenbach Museum and Library, Philadelphia, Online Object Catalog, September 2007.",,Museum-attribution,"Rosenbach Museum and Library, Philadelphia",2007,,,,,,,,,,,,
b10132958,"Raphael, 1483-1520.",,Information from Frick Art Reference Library Photoarchive.,,Archival-classification,,,,,,,,,,,,,,
b10135248,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.69",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b1013525x,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.67",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10135261,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.68",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10135273,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.66",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10135285,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.65",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10135297,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.64",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
b10135303,"Carpi, Girolamo da, 1501-1556.","Biblioteca Reale, Turin ","Canedy, Norman W. The Roman Sketchbook of Girolamo da Carpi London, 1976, cat. no.T.63: B.174",,bibliography,"Canedy, Norman W.",1976,,,,,,,,,,,,
